title,company_name,salary,location
Programator Python (România),ASSIST,Договорная,Кишинев
Python Developer (Romania),ASSIST,Договорная,Кишинев
Python Developer,EBS INTEGRATOR,Договорная,Кишинев
Python Developer,EnergyMarketPrice,Договорная,Кишинев
Middle Python Developer,Simpals,Договорная,Кишинев
Middle Python Developer,Simpals,Договорная,Кишинев
Python Developer,Amdaris,Договорная,Кишинев
Python Developer,Indrivo,Договорная,Кишинев
Python Developer,Pentalog,Договорная,Кишинев
DevOps Engineer (WINIFY),Mantis,Договорная,Кишинев
"System engineer, L2 Support (full-time, evening shift, remote)",Mantis,Договорная,Кишинев
"Системный Инженер - L2 Support (full-time, evening shift,...",Mantis,Договорная,Кишинев
Economist principal pe perioadă determinată responsabil...,Banca Națională a Moldovei,Договорная,Кишинев
Big Data Engineer,Search4staff.com HR-Consulting,Договорная,Кишинев
QA Automation Developer,Search4staff.com HR-Consulting,Договорная,Кишинев
Inginer DevOps pentru România,ASSIST,Договорная,Кишинев
Javascript Developer (Romania),ASSIST,Договорная,Кишинев
Android разработчик,MUSQOGEE,Договорная,Кишинев
Middle / Senior Fullstack Developer (Java+Angular),Feel IT Services,Договорная,Кишинев
Junior DevOps Engineer,EBS INTEGRATOR,Договорная,Кишинев
Senior Back-End Engineer,Digital MR,Договорная,Кишинев
Senior .Net Developers,Jivy Group,Договорная,Кишинев
C++ Developer,Noction,Договорная,Кишинев
QA Automation Engineer (874),Gilat Satellite Networks Ltd,Договорная,Кишинев
"Inginer de system software, Secția programe și implementare,...",Moldindconbank,Договорная,Кишинев
PHP Team Leader,Indrivo,Договорная,Кишинев
QA Automation Engineer,Orange Moldova,Договорная,Кишинев
Senior DevOps,Titanium.Codes,Договорная,Кишинев
Big Data Engineer,Orange Moldova,Договорная,Кишинев
Front-end Developer (ReactJS),Allied Testing,Договорная,Кишинев
Senior test automation engineer,Allied Testing,Договорная,Кишинев
Internship Program in Applications Management DevOps Engineer,Endava,Договорная,Кишинев
"Senior QAA Automation - Iasi, Romania",Ness,Договорная,Кишинев
Senior DevOps Engineer,Endava,Договорная,Кишинев
DevOps Engineer,Code Factory,Договорная,Кишинев
Senior python developer,,1500-3000 USD,Кишинев
Python developer (web-backend / system) - rem...,Smartsoftdev SRL,По договорённости,Кишинев
Программист Python,Total Sistem SRL,По договорённости,Кишинев
Python developer,Darqube,По договорённости,Кишинев
Преподаватель курсов по языкам программирован...,Учебный центр VanAr,По договорённости,Кишинев
Программист Python,ALSODEV,5000-20000 MDL,Кишинев
Разработчик Python,Seagull Way inc.,800-1500 USD,Кишинев
